tempc,precipmm,humidity,windspeedkmph,visibility,pressure,cloudcover,heatindexC,dewpointC,windchillC,windgustkmph,uvindex,time_new,datetime,icon,desc,temp,templow,baro,wind,wd,hum,year,month,day
30,0.0,62,19,10,1012,16,33,22,30,22,7,9,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
30,0.0,62,21,10,1011,14,33,22,30,24,7,10,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
30,0.0,61,22,10,1011,13,34,22,30,25,8,11,2018-01-06,7.0,Overcast.,32.0,27.0,1012.0,3.0,140.0,63.0,2018,1,6
30,0.0,61,23,10,1010,11,34,22,30,26,8,12,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
30,0.0,63,22,10,1010,10,33,22,30,26,7,13,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
29,0.0,66,21,10,1010,10,32,22,29,26,7,14,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
28,0.0,69,19,10,1010,9,31,22,28,26,7,15,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
28,0.0,71,18,10,1011,9,31,22,28,24,7,16,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
27,0.0,73,16,10,1011,9,30,22,27,22,7,17,2018-01-06,6.0,Partly sunny.,33.0,31.0,1010.0,4.0,160.0,50.0,2018,1,6
27,0.0,75,14,10,1012,9,29,22,27,21,1,18,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
27,0.0,76,13,10,1012,9,29,22,27,19,1,19,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
27,0.0,77,12,10,1012,9,29,22,27,17,1,20,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
27,0.0,78,12,10,1012,9,29,22,27,16,1,21,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
26,0.0,79,11,10,1012,12,29,22,26,15,1,22,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
26,0.0,80,10,10,1012,14,29,22,26,14,1,23,2018-01-06,14.0,Passing clouds.,28.0,26.0,1012.0,2.0,130.0,66.0,2018,1,6
26,0.0,80,10,10,1012,17,29,23,26,12,1,0,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
26,0.0,81,9,10,1012,15,29,23,26,12,1,1,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
26,0.0,81,9,10,1012,14,29,23,26,11,1,2,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
26,0.0,82,9,10,1012,13,29,23,26,11,1,3,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
26,0.0,80,7,10,1012,15,29,23,26,9,1,4,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
27,0.0,78,6,10,1012,18,29,22,27,7,1,5,2018-01-07,14.0,Passing clouds.,24.0,24.0,1011.0,0.0,0.0,82.0,2018,1,7
27,0.0,77,4,10,1013,21,30,22,27,5,7,6,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
28,0.0,73,6,10,1013,31,31,23,28,7,7,7,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
29,0.0,69,7,10,1013,42,33,23,29,8,7,8,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
30,0.0,65,9,10,1013,52,34,23,30,10,8,9,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
31,0.0,63,10,10,1013,45,35,23,31,11,8,10,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
31,0.0,61,11,10,1012,38,36,23,31,12,8,11,2018-01-07,3.0,Haze.,30.0,26.0,1013.0,2.0,320.0,71.0,2018,1,7
32,0.0,59,12,10,1012,31,37,23,32,14,8,12,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
31,0.0,62,13,10,1011,27,36,23,31,16,8,13,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
31,0.1,64,15,9,1011,23,35,23,31,19,7,14,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
30,0.1,67,16,9,1011,19,34,23,30,21,6,15,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
29,0.0,70,15,9,1012,17,33,23,29,20,6,16,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
28,0.1,74,14,9,1012,15,32,23,28,18,6,17,2018-01-07,7.0,Overcast.,31.0,29.0,1011.0,3.0,290.0,67.0,2018,1,7
27,0.1,77,12,9,1013,14,31,23,27,17,1,18,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,78,12,9,1013,12,31,23,27,17,1,19,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,78,12,10,1013,11,30,23,27,16,1,20,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,79,12,10,1013,9,30,23,27,16,1,21,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,79,11,10,1013,7,31,23,27,15,1,22,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,80,11,10,1013,5,31,24,27,14,1,23,2018-01-07,34.0,Light rain. Passing clouds.,26.0,25.0,1013.0,1.0,120.0,90.0,2018,1,7
27,0.0,80,11,10,1012,3,31,24,27,14,1,0,2018-01-08,14.0,Haze.,24.0,24.0,1012.0,0.0,0.0,90.0,2018,1,8
